OBJECTID;ID;FEATTYP;ORDER01;ORDER02;ORDER07;ORDER08;NAME;POPCLASS;POP;SHAPE_Leng;SHAPE_Area
1;10560032003300,00000000000;1119;VG;1;11;11001;Aartselaar;5;14371,00000000000;21103,96737470000;11067733,83110000000
2;10560032003300,00000000000;1119;VG;1;13;13001;Arendonk;5;11578,00000000000;32270,60924520000;55078662,49610000000
3;10560032003300,00000000000;1119;VG;1;13;13003;Balen;5;19129,00000000000;52274,52796360000;72924311,00810000000
4;10560032003300,00000000000;1119;VG;1;12;12002;Berlaar;5;10060,00000000000;27895,82193060000;24552976,11980000000
5;10560032003300,00000000000;1119;VG;1;12;12005;Bonheiden;5;13626,00000000000;35894,52027890000;29170068,25800000000
6;10560032003300,00000000000;1119;VG;1;12;12007;Bornem;5;19901,00000000000;34284,91755900000;46257300,22050000000
7;10560032003300,00000000000;1119;VG;1;11;11008;Brasschaat;5;37160,00000000000;27457,06278660000;38608224,85730000000
8;10560032003300,00000000000;1119;VG;1;13;13006;Dessel;6;8423,00000000000;27246,40924160000;27391419,54800000000
9;10560032003300,00000000000;1119;VG;1;11;11013;Edegem;5;22503,00000000000;14482,99789950000;8721602,29025000000
10;10560032003300,00000000000;1119;VG;1;13;13008;Geel;5;33655,00000000000;64618,60524040000;110097150,17700000000
11;10560032003400,00000000000;1119;VG;1;12;12014;Heist-op-den-Berg;5;37347,00000000000;60110,74920500000;86730847,40660000000
12;10560032003400,00000000000;1119;VG;1;13;13011;Herentals;5;25236,00000000000;44787,98659890000;48142206,70970000000
13;10560032003400,00000000000;1119;VG;1;13;13013;Herselt;5;13602,00000000000;45715,27509100000;52562574,76800000000
14;10560032003400,00000000000;1119;VG;1;11;11021;Hove;6;8392,00000000000;13827,67349230000;5958953,52780000000
15;10560032003400,00000000000;1119;VG;1;11;11022;Kalmthout;5;17289,00000000000;43213,46700510000;59365893,57270000000
16;10560032003400,00000000000;1119;VG;1;13;13017;Kasterlee;5;17400,00000000000;46719,88171690000;72221501,88240000000
17;10560032003400,00000000000;1119;VG;1;13;13053;Laakdal;5;14705,00000000000;41132,43975770000;42410780,35370000000
18;10560032003400,00000000000;1119;VG;1;13;13019;Lille;5;14705,00000000000;41514,44662970000;59659264,60120000000
19;10560032003500,00000000000;1119;VG;1;11;11057;Malle;5;13902,00000000000;35604,28344390000;51374031,85600000000
20;10560032003500,00000000000;1119;VG;1;13;13021;Meerhout;6;9221,00000000000;31635,68120940000;36561007,50210000000
21;10560032003500,00000000000;1119;VG;1;13;13025;Mol;5;31264,00000000000;76799,82764270000;114623894,68900000000
22;10560032003500,00000000000;1119;VG;1;11;11030;Niel;6;8424,00000000000;10222,79289660000;5294196,37865000000
23;10560032003500,00000000000;1119;VG;1;13;13029;Olen;5;10758,00000000000;24501,17986430000;23182216,56780000000
24;10560032003500,00000000000;1119;VG;1;12;12029;Putte;5;15159,00000000000;40558,92265530000;35205490,88700000000
25;10560032003500,00000000000;1119;VG;1;11;11035;Ranst;5;17464,00000000000;32803,65655610000;43707414,66690000000
26;10560032003500,00000000000;1119;VG;1;13;13036;Retie;6;9737,00000000000;33987,56273760000;48557429,32800000000
27;10560032003500,00000000000;1119;VG;1;11;11037;Rumst;5;14598,00000000000;28915,21912480000;20255627,35910000000
28;10560032003500,00000000000;1119;VG;1;11;11039;Schilde;5;19427,00000000000;32036,35544980000;36111075,94680000000
29;10560032003500,00000000000;1119;VG;1;12;12034;Sint-Amands;6;7468,00000000000;22725,80861110000;15730705,91060000000
30;10560032003500,00000000000;1119;VG;1;11;11044;Stabroek;5;17042,00000000000;21605,62686280000;21290968,23390000000
31;10560032003600,00000000000;1119;VG;1;13;13044;Vorselaar;6;7363,00000000000;30705,64932910000;27612979,60870000000
32;10560032003600,00000000000;1119;VG;1;13;13049;Westerlo;5;21691,00000000000;40480,14679930000;55478537,67290000000
33;10560032003600,00000000000;1119;VG;1;12;12040;Willebroek;5;22457,00000000000;30510,85084250000;27399374,69510000000
34;10560032003600,00000000000;1119;VG;1;11;11053;Wuustwezel;5;17312,00000000000;44639,53545409990;89431575,55810000000
35;10560032003600,00000000000;1119;VG;1;11;11055;Zoersel;5;20060,00000000000;33861,06197390000;39149052,35220000000
36;10560032003300,00000000000;1119;VG;1;11;11002;Antwerpen;3;452619,00000000000;97073,05548870000;203594989,20300000000
37;10560032003300,00000000000;1119;VG;1;13;13002;Baarle-Hertog;6;2112,00000000000;54899,00247870000;7433191,97550000000
38;10560032003300,00000000000;1119;VG;1;13;13004;Beerse;5;15224,00000000000;30513,23044850000;37337149,54030000000
39;10560032003300,00000000000;1119;VG;1;11;11004;Boechout;5;11744,00000000000;26377,43656510000;20709985,57030000000
40;10560032003300,00000000000;1119;VG;1;11;11005;Boom;5;14722,00000000000;11650,89687180000;7380866,15745000000
41;10560032003300,00000000000;1119;VG;1;11;11007;Borsbeek;5;10388,00000000000;10051,96905930000;3942105,75830000000
42;10560032003300,00000000000;1119;VG;1;11;11009;Brecht;5;24767,00000000000;45608,72716440000;91201354,36580000000
43;10560032003300,00000000000;1119;VG;1;12;12009;Duffel;5;15896,00000000000;30415,36319910000;22650766,89520000000
44;10560032003300,00000000000;1119;VG;1;11;11016;Essen;5;16280,00000000000;33380,25335250000;47663551,84390000000
45;10560032003400,00000000000;1119;VG;1;13;13010;Grobbendonk;5;10426,00000000000;27756,01374840000;28347641,51510000000
46;10560032003400,00000000000;1119;VG;1;11;11018;Hemiksem;6;9328,00000000000;11062,92767910000;5552573,17260000000
47;10560032003400,00000000000;1119;VG;1;13;13012;Herenthout;6;8221,00000000000;25167,61640330000;23462805,05530000000
48;10560032003400,00000000000;1119;VG;1;13;13014;Hoogstraten;5;17590,00000000000;64826,57258450000;105418740,48500000000
49;10560032003400,00000000000;1119;VG;1;13;13016;Hulshout;6;8504,00000000000;30817,55578809990;17309428,87590000000
50;10560032003400,00000000000;1119;VG;1;11;11023;Kapellen;5;25541,00000000000;29135,98059630000;37142286,38010000000
51;10560032003400,00000000000;1119;VG;1;11;11024;Kontich;5;19681,00000000000;28349,00195360000;23812896,48520000000
52;10560032003400,00000000000;1119;VG;1;12;12021;Lier;5;31817,00000000000;52266,17870610000;49733742,34470000000
53;10560032003400,00000000000;1119;VG;1;11;11025;Lint;6;7800,00000000000;13333,99873810000;5586304,76110000000
54;10560032003500,00000000000;1119;VG;1;12;12025;Mechelen;4;75431,00000000000;54354,39691870000;65728985,28100000000
55;10560032003500,00000000000;1119;VG;1;13;13023;Merksplas;6;7872,00000000000;28017,83855610000;44616634,07810000000
56;10560032003500,00000000000;1119;VG;1;11;11029;Mortsel;5;25369,00000000000;13227,20507510000;7736947,12510000000
57;10560032003500,00000000000;1119;VG;1;12;12026;Nijlen;5;20407,00000000000;30421,13849810000;39145457,68450000000
58;10560032003500,00000000000;1119;VG;1;13;13031;Oud-Turnhout;5;12425,00000000000;32373,39195770000;39452570,70860000000
59;10560032003500,00000000000;1119;VG;1;12;12030;Puurs;5;15706,00000000000;28930,09000810000;33409052,71820000000
60;10560032003500,00000000000;1119;VG;1;13;13035;Ravels;5;13003,00000000000;44989,96153230000;94995453,37820000000
61;10560032003500,00000000000;1119;VG;1;13;13037;Rijkevorsel;5;10317,00000000000;29187,51393950000;46950166,63090000000
62;10560032003500,00000000000;1119;VG;1;11;11038;Schelle;6;7609,00000000000;12772,98019580000;7650569,14115000000
63;10560032003500,00000000000;1119;VG;1;11;11040;Schoten;5;32355,00000000000;26043,76525090000;29819511,19280000000
64;10560032003500,00000000000;1119;VG;1;12;12035;Sint-Katelijne-Waver;5;19120,00000000000;35161,26347190000;36251334,67240000000
65;10560032003500,00000000000;1119;VG;1;13;13040;Turnhout;5;38403,00000000000;44673,73391270000;56640714,19520000000
66;10560032003600,00000000000;1119;VG;1;13;13046;Vosselaar;6;9816,00000000000;21084,94127420000;11758370,26290000000
67;10560032003600,00000000000;1119;VG;1;11;11050;Wijnegem;6;8560,00000000000;17411,73879740000;7924250,73330000000
68;10560032003600,00000000000;1119;VG;1;11;11052;Wommelgem;5;11631,00000000000;19529,28688840000;12869931,96330000000
69;10560032003600,00000000000;1119;VG;1;11;11054;Zandhoven;5;11982,00000000000;32231,85147120000;40177764,47440000000
70;10560032003600,00000000000;1119;VG;1;11;11056;Zwijndrecht;5;17891,00000000000;25646,40446970000;20285146,94880000000
71;10560032003300,00000000000;1119;BHG;99999990001;21;21001;Anderlecht;4;87451,00000000000;22920,41198550000;18038090,07610000000
72;10560032003300,00000000000;1119;BHG;99999990001;21;21009;Elsene;4;72419,00000000000;22172,85263520000;6451959,95945000000
73;10560032003300,00000000000;1119;BHG;99999990001;21;21006;Evere;5;30314,00000000000;10657,44755880000;5185478,28325000000
74;10560032003400,00000000000;1119;BHG;99999990001;21;21010;Jette;5;38792,00000000000;12605,69005490000;5218630,01685000000
75;10560032003500,00000000000;1119;BHG;99999990001;21;21002;Oudergem;5;29033,00000000000;21637,74912870000;9143673,47195000000
76;10560032003500,00000000000;1119;BHG;99999990001;21;21003;Sint-Agatha-Berchem;5;18643,00000000000;8408,48932747000;2961971,98710000000
77;10560032003500,00000000000;1119;BHG;99999990001;21;21012;Sint-Jans-Molenbeek;4;68783,00000000000;18780,50825190000;5934376,35880000000
78;10560032003500,00000000000;1119;BHG;99999990001;21;21018;Sint-Lambrechts-Woluwe;5;47063,00000000000;15167,52833700000;7266812,85050000000
79;10560032003500,00000000000;1119;BHG;99999990001;21;21016;Ukkel;4;74266,00000000000;23780,08394080000;22861144,08070000000
80;10560032003600,00000000000;1119;BHG;99999990001;21;21017;Watermaal-Bosvoorde;5;24813,00000000000;17632,72459260000;12934247,08440000000
81;10560032003300,00000000000;1119;BHG;99999990001;21;21004;Brussel;3;134028,00000000000;57822,42926570000;32985535,69540000000
82;10560032003300,00000000000;1119;BHG;99999990001;21;21005;Etterbeek;5;39219,00000000000;8536,35691847000;3188523,35195000000
83;10560032003300,00000000000;1119;BHG;99999990001;21;21008;Ganshoren;5;19634,00000000000;7474,42331609000;2394313,32300000000
84;10560032003400,00000000000;1119;BHG;99999990001;21;21011;Koekelberg;5;16012,00000000000;6485,93332363000;1195735,09155000000
85;10560032003500,00000000000;1119;BHG;99999990001;21;21015;Schaarbeek;3;104807,00000000000;13453,26600620000;7918067,46475000000
86;10560032003500,00000000000;1119;BHG;99999990001;21;21013;Sint-Gillis;5;42891,00000000000;7885,21388209000;2570360,52660000000
87;10560032003500,00000000000;1119;BHG;99999990001;21;21014;Sint-Joost-ten-Node;5;22795,00000000000;6051,63650663000;1170214,20385000000
88;10560032003500,00000000000;1119;BHG;99999990001;21;21019;Sint-Pieters-Woluwe;5;38003,00000000000;18959,90259030000;8766721,75745000000
89;10560032003600,00000000000;1119;BHG;99999990001;21;21007;Vorst;5;45367,00000000000;12715,76397210000;6244484,18740000000
90;10560032003300,00000000000;1119;VG;7;73;73001;Alken;5;10881,00000000000;25712,12329860000;28023691,11570000000
91;10560032003300,00000000000;1119;VG;7;71;71004;Beringen;5;38997,00000000000;48486,37815080000;78716187,62900000000
92;10560032003300,00000000000;1119;VG;7;72;72003;Bocholt;5;11740,00000000000;41142,48790210000;59326480,61500000000
93;10560032003300,00000000000;1119;VG;7;72;72004;Bree;5;13831,00000000000;39905,74832270000;64984089,33760000000
94;10560032003300,00000000000;1119;VG;7;72;72041;Dilsen-Stokkem;5;18026,00000000000;48829,08340690000;66092309,10600000000
95;10560032003400,00000000000;1119;VG;7;71;71017;Gingelom;6;7578,00000000000;43370,07151470000;56327081,56780000000
96;10560032003400,00000000000;1119;VG;7;71;71069;Ham;6;9038,00000000000;31088,57185200000;32831142,46620000000
97;10560032003400,00000000000;1119;VG;7;71;71022;Hasselt;4;67481,00000000000;60937,76986190000;102709104,15100000000
98;10560032003400,00000000000;1119;VG;7;73;73022;Heers;6;6545,00000000000;47276,88917480000;53235497,94660000000
99;10560032003400,00000000000;1119;VG;7;73;73028;Herstappe;6;85,00000000000;6265,04640615000;1364101,66135000000
100;10560032003400,00000000000;1119;VG;7;73;73032;Hoeselt;6;9085,00000000000;28595,95064170000;30169022,77280000000
101;10560032003400,00000000000;1119;VG;7;72;72018;Kinrooi;5;11540,00000000000;44908,21887010000;54748651,53470000000
102;10560032003400,00000000000;1119;VG;7;73;73042;Lanaken;5;23284,00000000000;50060,08876970000;58898496,08120000000
103;10560032003400,00000000000;1119;VG;7;72;72020;Lommel;5;30162,00000000000;44605,12409410000;102389830,80800000000
104;10560032003500,00000000000;1119;VG;7;72;72021;Maaseik;5;22575,00000000000;59397,63912200000;77042106,93720000000
105;10560032003500,00000000000;1119;VG;7;72;72040;Meeuwen-Gruitrode;5;12404,00000000000;52932,68673230000;91200288,34050000000
106;10560032003500,00000000000;1119;VG;7;71;71045;Nieuwerkerken;6;6430,00000000000;33604,57542450000;22546578,24700000000
107;10560032003500,00000000000;1119;VG;7;72;72029;Overpelt;5;12319,00000000000;33659,46798010000;40731428,29240000000
108;10560032003500,00000000000;1119;VG;7;73;73066;Riemst;5;15365,00000000000;46189,29950450000;58028411,31720000000
109;10560032003500,00000000000;1119;VG;7;71;71057;Tessenderlo;5;15511,00000000000;43075,06505470000;51657419,22770000000
110;10560032003600,00000000000;1119;VG;7;73;73109;Voeren;6;4312,00000000000;53418,30558650000;50690401,57800000000
111;10560032003600,00000000000;1119;VG;7;71;71066;Zonhoven;5;18926,00000000000;30685,05088000000;39685629,02240000000
112;10560032003300,00000000000;1119;VG;7;71;71002;As;6;7122,00000000000;25461,29939150000;22169574,11410000000
113;10560032003300,00000000000;1119;VG;7;73;73006;Bilzen;5;29070,00000000000;48939,86122180000;75972481,61140000000
114;10560032003300,00000000000;1119;VG;7;73;73009;Borgloon;5;10080,00000000000;43791,43414790000;51372611,65300000000
115;10560032003300,00000000000;1119;VG;7;71;71011;Diepenbeek;5;16899,00000000000;30475,05259750000;41403313,86730000000
116;10560032003300,00000000000;1119;VG;7;71;71016;Genk;4;62535,00000000000;43094,21960360000;87641689,73570000000
117;10560032003400,00000000000;1119;VG;7;71;71020;Halen;6;8139,00000000000;35039,49129770000;36348629,56570000000
118;10560032003400,00000000000;1119;VG;7;72;72037;Hamont-Achel;5;13582,00000000000;31973,12343580000;43733074,68910000000
119;10560032003400,00000000000;1119;VG;7;72;72038;Hechtel-Eksel;5;11163,00000000000;43073,76774720000;76811389,37240000000
120;10560032003400,00000000000;1119;VG;7;71;71024;Herk-de-Stad;5;11604,00000000000;34239,85835710000;42804777,52030000000
121;10560032003400,00000000000;1119;VG;7;71;71070;Heusden-Zolder;5;29701,00000000000;41333,74937890000;53332083,98380000000
122;10560032003400,00000000000;1119;VG;7;72;72039;Houthalen-Helchteren;5;28916,00000000000;43552,66713730000;78018932,18430000000
123;10560032003400,00000000000;1119;VG;7;73;73040;Kortessem;6;7943,00000000000;31269,82734910000;34189787,29440000000
124;10560032003400,00000000000;1119;VG;7;71;71034;Leopoldsburg;5;13748,00000000000;21247,51515000000;22454177,29630000000
125;10560032003400,00000000000;1119;VG;7;71;71037;Lummen;5;13499,00000000000;44025,37203650000;53743225,35170000000
126;10560032003500,00000000000;1119;VG;7;73;73107;Maasmechelen;5;35404,00000000000;55368,10676880000;76965368,88770000000
127;10560032003500,00000000000;1119;VG;7;72;72025;Neerpelt;5;15221,00000000000;37073,10731300000;42947580,28010000000
128;10560032003500,00000000000;1119;VG;7;71;71047;Opglabbeek;6;9040,00000000000;22816,36280030000;25147605,11370000000
129;10560032003500,00000000000;1119;VG;7;72;72030;Peer;5;15081,00000000000;45514,43846140000;87428269,23650000000
130;10560032003500,00000000000;1119;VG;7;71;71053;Sint-Truiden;5;37292,00000000000;65611,52981560000;107235911,51900000000
131;10560032003500,00000000000;1119;VG;7;73;73083;Tongeren;5;29899,00000000000;54538,02296440000;87546103,44260000000
132;10560032003600,00000000000;1119;VG;7;73;73098;Wellen;6;6630,00000000000;24909,08529670000;26860194,00050000000
133;10560032003600,00000000000;1119;VG;7;71;71067;Zutendaal;6;6545,00000000000;26625,06179290000;32013208,15170000000
134;10560032003300,00000000000;1119;VG;4;41;41002;Aalst;4;76255,00000000000;56169,43559150000;78609961,65630000000
135;10560032003300,00000000000;1119;VG;4;43;43002;Assenede;5;13548,00000000000;52186,48100560000;87476323,86260000000
136;10560032003300,00000000000;1119;VG;4;46;46003;Beveren;5;45122,00000000000;62211,52482330000;153336087,22500000000
137;10560032003300,00000000000;1119;VG;4;42;42004;Buggenhout;5;13634,00000000000;26371,13587790000;25652066,60860000000
138;10560032003300,00000000000;1119;VG;4;41;41011;Denderleeuw;5;16965,00000000000;20238,81039210000;13940852,05610000000
139;10560032003300,00000000000;1119;VG;4;44;44012;De Pinte;5;10187,00000000000;21991,59848020000;17820901,68430000000
140;10560032003300,00000000000;1119;VG;4;43;43005;Eeklo;5;19096,00000000000;25803,23894840000;30432722,59250000000
141;10560032003300,00000000000;1119;VG;4;44;44019;Evergem;5;30548,00000000000;48166,55442870000;75116312,79470000000
142;10560032003300,00000000000;1119;VG;4;44;44021;Gent;3;226436,00000000000;96992,99729300000;157838316,10300000000
143;10560032003400,00000000000;1119;VG;4;41;41024;Haaltert;5;17294,00000000000;31949,36442830000;30532355,09420000000
144;10560032003400,00000000000;1119;VG;4;41;41027;Herzele;5;16240,00000000000;43858,97222410000;47858940,95160000000
145;10560032003400,00000000000;1119;VG;4;43;43007;Kaprijke;6;6187,00000000000;30831,82918570000;33597736,75120000000
146;10560032003400,00000000000;1119;VG;4;44;44029;Knesselare;6;7830,00000000000;31971,74718940000;37381481,72590000000
147;10560032003400,00000000000;1119;VG;4;45;45017;Kruishoutem;6;7853,00000000000;37941,56753320000;47371585,60360000000
148;10560032003400,00000000000;1119;VG;4;42;42011;Lebbeke;5;17320,00000000000;27804,19060730000;27439731,68400000000
149;10560032003400,00000000000;1119;VG;4;45;45063;Lierde;6;6199,00000000000;27842,66913730000;26406182,98320000000
150;10560032003400,00000000000;1119;VG;4;46;46014;Lokeren;5;36394,00000000000;39527,17105810000;68363984,43570000000
151;10560032003500,00000000000;1119;VG;4;45;45064;Maarkedal;6;6389,00000000000;43984,91677090000;46063727,22040000000
152;10560032003500,00000000000;1119;VG;4;44;44040;Melle;5;10254,00000000000;21796,55064390000;15275731,45900000000
153;10560032003500,00000000000;1119;VG;4;44;44045;Moerbeke;6;5765,00000000000;35480,04035000000;37765222,67370000000
154;10560032003500,00000000000;1119;VG;4;44;44049;Nevele;5;10989,00000000000;36982,22251470000;52068645,98050000000
155;10560032003500,00000000000;1119;VG;4;44;44052;Oosterzele;5;13153,00000000000;34871,39168750000;43468965,07430000000
156;10560032003500,00000000000;1119;VG;4;45;45041;Ronse;5;24038,00000000000;33360,62140930000;34712431,15330000000
157;10560032003500,00000000000;1119;VG;4;43;43014;Sint-Laureins;6;6555,00000000000;48334,63409430000;74549663,71110000000
158;10560032003500,00000000000;1119;VG;4;44;44064;Sint-Martens-Latem;6;8380,00000000000;20013,18191470000;14506600,07610000000
159;10560032003500,00000000000;1119;VG;4;46;46024;Stekene;5;16719,00000000000;34562,46382690000;45433761,03680000000
160;10560032003600,00000000000;1119;VG;4;44;44072;Waarschoot;6;8066,00000000000;23794,06605100000;22033870,24940000000
161;10560032003600,00000000000;1119;VG;4;44;44073;Wachtebeke;6;6857,00000000000;30717,64966100000;34677531,67450000000
162;10560032003600,00000000000;1119;VG;4;42;42026;Wichelen;5;10899,00000000000;32614,67779460000;23078264,45010000000
163;10560032003600,00000000000;1119;VG;4;42;42028;Zele;5;20446,00000000000;31883,14584930000;33235230,30130000000
