CODE;NAMDGM;NAMFGM;NAMFGM_k
2321;MEER;HOOGSTRATEN;Hoogstraten
2328;MEERLE;HOOGSTRATEN;Hoogstraten
2382;POPPEL;RAVELS;Ravels
2910;ESSEN;ESSEN;Essen
2322;MINDERHOUT;HOOGSTRATEN;Hoogstraten
2920;KALMTHOUT;KALMTHOUT;Kalmthout
2381;WEELDE;RAVELS;Ravels
2990;WUUSTWEZEL;WUUSTWEZEL;Wuustwezel
2990;LOENHOUT;WUUSTWEZEL;Wuustwezel
2320;HOOGSTRATEN;HOOGSTRATEN;Hoogstraten
2323;WORTEL;HOOGSTRATEN;Hoogstraten
2330;MERKSPLAS;MERKSPLAS;Merksplas
2380;RAVELS;RAVELS;Ravels
2387;BAARLE-HERTOG;BAARLE-HERTOG;Baarle-hertog
2300;TURNHOUT;TURNHOUT;Turnhout
2370;ARENDONK;ARENDONK;Arendonk
2310;RIJKEVORSEL;RIJKEVORSEL;Rijkevorsel
2960;SINT-LENAARTS;BRECHT;Brecht
2040;ZANDVLIET - KERN;ANTWERPEN;Antwerpen
2960;BRECHT;BRECHT;Brecht
2000;SCHELDE;ANTWERPEN;Antwerpen
2360;OUD-TURNHOUT;OUD-TURNHOUT;Oud-turnhout
2950;KAPELLEN (KAPELLEN);KAPELLEN;Kapellen
2940;STABROEK;STABROEK;Stabroek
2930;BRASSCHAAT;BRASSCHAAT;Brasschaat
2340;BEERSE;BEERSE;Beerse
2000;ALBERTDOK;ANTWERPEN;Antwerpen
2950;MARIABURG;KAPELLEN;Kapellen
2940;HOEVENEN;STABROEK;Stabroek
2350;VOSSELAAR;VOSSELAAR;Vosselaar
2390;OOSTMALLE;MALLE;Malle
2390;WESTMALLE;MALLE;Malle
2400;MOL;MOL;Mol
2340;VLIMMEREN;BEERSE;Beerse
2960;SINT-JOB-IN-'T GOOR;BRECHT;Brecht
2180;EKEREN;ANTWERPEN;Antwerpen
2900;SCHOTEN;SCHOTEN;Schoten
2275;GIERLE;LILLE;Lille
2470;RETIE;RETIE;Retie
2970;SCHILDE;SCHILDE;Schilde
2980;ZOERSEL;ZOERSEL;Zoersel
2970;'S GRAVENWEZEL;SCHILDE;Schilde
2275;WECHELDERZANDE;LILLE;Lille
2460;TIELEN;KASTERLEE;Kasterlee
2275;LILLE;LILLE;Lille
2000;OUDE HAVEN;ANTWERPEN;Antwerpen
2460;KASTERLEE;KASTERLEE;Kasterlee
2480;DESSEL;DESSEL;Dessel
2170;MERKSEM;ANTWERPEN;Antwerpen
2460;LICHTAART;KASTERLEE;Kasterlee
2980;HALLE (ZOERSEL);ZOERSEL;Zoersel
2070;ZWIJNDRECHT;ZWIJNDRECHT;Zwijndrecht
2290;VORSELAAR;VORSELAAR;Vorselaar
2242;PULDERBOS;ZANDHOVEN;Zandhoven
2440;TEN AARD;GEEL;Geel
2240;ZANDHOVEN;ZANDHOVEN;Zandhoven
2110;WIJNEGEM;WIJNEGEM;Wijnegem
2275;POEDERLEE;LILLE;Lille
2100;DEURNE (ANTWERPEN);ANTWERPEN;Antwerpen
2000;LINKEROEVER;ANTWERPEN;Antwerpen
2000;SINT-AMANDUS;ANTWERPEN;Antwerpen
2520;OELEGEM;RANST;Ranst
2000;STATIEKWARTIER;ANTWERPEN;Antwerpen
2000;ANTWERPEN KERN - OUDE STAD;ANTWERPEN;Antwerpen
2140;BORGERHOUT;ANTWERPEN;Antwerpen
2243;PULLE;ZANDHOVEN;Zandhoven
2160;WOMMELGEM;WOMMELGEM;Wommelgem
2520;RANST;RANST;Ranst
2280;GROBBENDONK;GROBBENDONK;Grobbendonk
2200;HERENTALS;HERENTALS;Herentals
2070;BURCHT;ZWIJNDRECHT;Zwijndrecht
2490;BALEN;BALEN;Balen
2000;WAALSE KAAI;ANTWERPEN;Antwerpen
2240;MASSENHOVEN;ZANDHOVEN;Zandhoven
2440;GEEL;GEEL;Geel
2000;CHARLOTTALEI;ANTWERPEN;Antwerpen
2600;BERCHEM (ANTWERPEN);ANTWERPEN;Antwerpen
2000;SINT-LAURENTIUS;ANTWERPEN;Antwerpen
2240;VIERSEL;ZANDHOVEN;Zandhoven
2000;SINT-CATHARINA;ANTWERPEN;Antwerpen
2150;BORSBEEK;BORSBEEK;Borsbeek
2520;BROECHEM;RANST;Ranst
2250;OLEN;OLEN;Olen
2660;HOBOKEN;ANTWERPEN;Antwerpen
2531;VREMDE;BOECHOUT;Boechout
2640;MORTSEL;MORTSEL;Mortsel
2530;BOECHOUT;BOECHOUT;Boechout
2610;WILRIJK;ANTWERPEN;Antwerpen
2560;NIJLEN;NIJLEN;Nijlen
2520;EMBLEM;RANST;Ranst
2288;BOUWEL;GROBBENDONK;Grobbendonk
2650;EDEGEM;EDEGEM;Edegem
2500;LIER;LIER;Lier
2270;HERENTHOUT;HERENTHOUT;Herenthout
2560;KESSEL;NIJLEN;Nijlen
2200;NOORDERWIJK;HERENTALS;Herentals
2540;HOVE;HOVE;Hove
2620;HEMIKSEM;HEMIKSEM;Hemiksem
2450;MEERHOUT;MEERHOUT;Meerhout
2491;OLMEN;BALEN;Balen
2630;AARTSELAAR;AARTSELAAR;Aartselaar
2560;BEVEL;NIJLEN;Nijlen
2550;KONTICH;KONTICH;Kontich
2260;OEVEL;WESTERLO;Westerlo
2260;TONGERLO (WESTERLO);WESTERLO;Westerlo
2547;LINT;LINT;Lint
2590;BERLAAR;BERLAAR;Berlaar
2627;SCHELLE;SCHELLE;Schelle
2200;MORKHOVEN;HERENTALS;Herentals
2222;ITEGEM;HEIST-OP-DEN-BERG;Heist-op-den-berg
2222;WIEKEVORST;HEIST-OP-DEN-BERG;Heist-op-den-berg
2880;HINGENE;BORNEM;Bornem
2260;WESTERLO;WESTERLO;Westerlo
2880;BORNEM;BORNEM;Bornem
2840;REET;RUMST;Rumst
2430;EINDHOUT;LAAKDAL;Laakdal
2880;WEERT;BORNEM;Bornem
2570;DUFFEL;DUFFEL;Duffel
2550;WAARLOOS;KONTICH;Kontich
2845;NIEL;NIEL;Niel
2500;KONINGSHOOIKT;LIER;Lier
2430;VORST (LAAKDAL);LAAKDAL;Laakdal
2850;BOOM;BOOM;Boom
2870;RUISBROEK (PUURS);PUURS;Puurs
2840;RUMST;RUMST;Rumst
2260;ZOERLE-PARWIJS;WESTERLO;Westerlo
2220;HALLAAR;HEIST-OP-DEN-BERG;Heist-op-den-berg
2220;HEIST-OP-DEN-BERG;HEIST-OP-DEN-BERG;Heist-op-den-berg
2431;VARENDONK;LAAKDAL;Laakdal
2230;HERSELT;HERSELT;Herselt
2870;PUURS;PUURS;Puurs
2860;SINT-KATELIJNE-WAVER;SINT-KATELIJNE-WAVER;Sint-katelijne-waver
2840;TERHAGEN;RUMST;Rumst
2235;HULSHOUT;HULSHOUT;Hulshout
2580;PUTTE;PUTTE;Putte
2431;VEERLE;LAAKDAL;Laakdal
2830;WILLEBROEK;WILLEBROEK;Willebroek
2580;BEERZEL;PUTTE;Putte
2861;ONZE-LIEVE-VROUW-WAVER;SINT-KATELIJNE-WAVER;Sint-katelijne-waver
2830;HEINDONK;WILLEBROEK;Willebroek
2800;WALEM;MECHELEN;Mechelen
2890;OPPUURS;SINT-AMANDS;Sint-amands
2880;MARIEKERKE;BORNEM;Bornem
2235;WESTMEERBEEK;HULSHOUT;Hulshout
2221;BOOISCHOT;HEIST-OP-DEN-BERG;Heist-op-den-berg
2870;LIEZELE;PUURS;Puurs
2830;BLAASVELD;WILLEBROEK;Willebroek
2801;HEFFEN;MECHELEN;Mechelen
2800;MECHELEN;MECHELEN;Mechelen
2235;HOUTVENNE;HULSHOUT;Hulshout
2870;BREENDONK;PUURS;Puurs
2890;SINT-AMANDS;SINT-AMANDS;Sint-amands
2230;RAMSEL;HERSELT;Herselt
2890;LIPPELO;SINT-AMANDS;Sint-amands
2830;TISSELT;WILLEBROEK;Willebroek
2820;BONHEIDEN;BONHEIDEN;Bonheiden
2223;SCHRIEK;HEIST-OP-DEN-BERG;Heist-op-den-berg
2811;LEEST;MECHELEN;Mechelen
2820;RIJMENAM;BONHEIDEN;Bonheiden
2811;HOMBEEK;MECHELEN;Mechelen
2812;MUIZEN (MECHELEN);MECHELEN;Mechelen
8300;KNOKKE;KNOKKE-HEIST;Knokke-heist
8380;LISSEWEGE ( & ZEEBRUGGE );BRUGGE;Brugge
8301;HEIST;KNOKKE-HEIST;Knokke-heist
8300;WESTKAPELLE;KNOKKE-HEIST;Knokke-heist
8301;RAMSKAPELLE (KNOKKE-HEIST);KNOKKE-HEIST;Knokke-heist
8370;BLANKENBERGE;BLANKENBERGE;Blankenberge
8370;UITKERKE;BLANKENBERGE;Blankenberge
8380;DUDZELE;BRUGGE;Brugge
8420;WENDUINE;DE HAAN;De haan
8340;OOSTKERKE + HOEKE;DAMME;Damme
8340;LAPSCHEURE;DAMME;Damme
8421;VLISSEGEM;DE HAAN;De haan
8377;NIEUWMUNSTER;ZUIENKERKE;Zuienkerke
8377;ZUIENKERKE;ZUIENKERKE;Zuienkerke
8340;DAMME;DAMME;Damme
8420;KLEMSKERKE;DE HAAN;De haan
8000;BRUGGE;BRUGGE;Brugge
8377;HOUTAVE;ZUIENKERKE;Zuienkerke
8340;MOERKERKE;DAMME;Damme
8450;BREDENE;BREDENE;Bredene
8377;MEETKERKE;ZUIENKERKE;Zuienkerke
8000;KOOLKERKE;BRUGGE;Brugge
8400;VOORHAVEN;OOSTENDE;Oostende
8340;AFDELING 2 - SINT-KRUIS;DAMME;Damme
8400;OOSTENDE;OOSTENDE;Oostende
8310;SINT-KRUIS;BRUGGE;Brugge
8490;STALHILLE;JABBEKE;Jabbeke
8460;OUDENBURG;OUDENBURG;Oudenburg
8200;SINT-ANDRIES;BRUGGE;Brugge
8400;OOSTENDE ZANDVOORDE;OOSTENDE;Oostende
8340;SIJSELE;DAMME;Damme
8400;NIEUWE KOERSWIJK;OOSTENDE;Oostende
8460;ETTELGEM;OUDENBURG;Oudenburg
8490;VARSENARE;JABBEKE;Jabbeke
8400;OOSTENDE - STENE;OOSTENDE;Oostende
8400;STENE - DORP;OOSTENDE;Oostende
8490;SNELLEGEM;JABBEKE;Jabbeke
8310;ASSEBROEK;BRUGGE;Brugge
8490;JABBEKE;JABBEKE;Jabbeke
8430;MIDDELKERKE;MIDDELKERKE;Middelkerke
8470;SNAASKERKE;GISTEL;Gistel
8200;SINT-MICHIELS;BRUGGE;Brugge
8730;OEDELEM;BEERNEM;Beernem
8490;ZERKEGEM;JABBEKE;Jabbeke
8432;LEFFINGE;MIDDELKERKE;Middelkerke
8431;WILSKERKE;MIDDELKERKE;Middelkerke
8020;OOSTKAMP;OOSTKAMP;Oostkamp
8460;WESTKERKE;OUDENBURG;Oudenburg
8433;SLIJPE;MIDDELKERKE;Middelkerke
8470;GISTEL;GISTEL;Gistel
8460;ROKSEM;OUDENBURG;Oudenburg
8434;WESTENDE;MIDDELKERKE;Middelkerke
8434;LOMBARDSIJDE;MIDDELKERKE;Middelkerke
8210;LOPPEM;ZEDELGEM;Zedelgem
8620;NIEUWPOORT;NIEUWPOORT;Nieuwpoort
8480;BEKEGEM;ICHTEGEM;Ichtegem
8210;ZEDELGEM;ZEDELGEM;Zedelgem
8470;ZEVEKOTE;GISTEL;Gistel
8730;BEERNEM;BEERNEM;Beernem
8470;MOERE;GISTEL;Gistel
8433;MANNEKENSVERE;MIDDELKERKE;Middelkerke
8480;EERNEGEM;ICHTEGEM;Ichtegem
8670;OOSTDUINKERKE;KOKSIJDE;Koksijde
8620;SINT-JORIS (NIEUWPOORT);NIEUWPOORT;Nieuwpoort
8211;AARTRIJKE;ZEDELGEM;Zedelgem
8730;SINT-JORIS (BEERNEM);BEERNEM;Beernem
8433;SINT-PIETERS-KAPELLE (MIDDELKERKE);MIDDELKERKE;Middelkerke
8680;ZANDE;KOEKELARE;Koekelare
8670;KOKSIJDE;KOKSIJDE;Koksijde
8433;SCHORE;MIDDELKERKE;Middelkerke
8620;RAMSKAPELLE (NIEUWPOORT);NIEUWPOORT;Nieuwpoort
8020;HERTSBERGE;OOSTKAMP;Oostkamp
8680;KOEKELARE;KOEKELARE;Koekelare
8020;WAARDAMME;OOSTKAMP;Oostkamp
8210;VELDEGEM;ZEDELGEM;Zedelgem
8480;ICHTEGEM;ICHTEGEM;Ichtegem
8600;LEKE;DIKSMUIDE;Diksmuide
8670;WULPEN;KOKSIJDE;Koksijde
8660;DE PANNE;DE PANNE;De panne
8020;RUDDERVOORDE;OOSTKAMP;Oostkamp
8600;KEIEM;DIKSMUIDE;Diksmuide
8600;PERVIJZE;DIKSMUIDE;Diksmuide
8820;WIJNENDALE;TORHOUT;Torhout
8750;WINGENE;WINGENE;Wingene
8630;BOOITSHOEKE;VEURNE;Veurne
8600;STUIVEKENSKERKE;DIKSMUIDE;Diksmuide
8755;RUISELEDE;RUISELEDE;Ruiselede
8660;ADINKERKE;DE PANNE;De panne
8630;VEURNE;VEURNE;Veurne
8600;VLADSLO;DIKSMUIDE;Diksmuide
8820;TORHOUT;TORHOUT;Torhout
8630;STEENKERKE;VEURNE;Veurne
8630;AVEKAPELLE;VEURNE;Veurne
8600;BEERST;DIKSMUIDE;Diksmuide
8600;DIKSMUIDE;DIKSMUIDE;Diksmuide
8680;BOVEKERKE;KOEKELARE;Koekelare
8610;HANDZAME;KORTEMARK;Kortemark
8600;LAMPERNISSE;DIKSMUIDE;Diksmuide
8810;LICHTERVELDE;LICHTERVELDE;Lichtervelde
8750;ZWEVEZELE;WINGENE;Wingene
8630;EGGEWAARTSKAPELLE;VEURNE;Veurne
8630;DE MOEREN;VEURNE;Veurne
8630;BULSKAMP;VEURNE;Veurne
8630;ZOUTENAAIE;VEURNE;Veurne
8610;KORTEMARK;KORTEMARK;Kortemark
8600;OOSTKERKE;DIKSMUIDE;Diksmuide
8610;WERKEN;KORTEMARK;Kortemark
8700;SCHUIFERSKAPELLE;TIELT;Tielt
8690;ALVERINGEM;ALVERINGEM;Alveringem
8630;BEAUVOORDE;VEURNE;Veurne
8600;OUDEKAPELLE;DIKSMUIDE;Diksmuide
8600;SINT-JACOBS-KAPELLE;DIKSMUIDE;Diksmuide
8700;TIELT (TIELT);TIELT;Tielt
8740;EGEM;PITTEM;Pittem
8630;HOUTEM;VEURNE;Veurne
8700;KANEGEM;TIELT;Tielt
8740;PITTEM;PITTEM;Pittem
8610;ZARREN;KORTEMARK;Kortemark
8851;KOOLSKAMP;ARDOOIE;Ardooie
8647;LO;LO-RENINGE;Lo-reninge
8600;NIEUWKAPELLE;DIKSMUIDE;Diksmuide
8830;GITS;HOOGLEDE;Hooglede
8600;WOUMEN;DIKSMUIDE;Diksmuide
8700;AARSELE;TIELT;Tielt
8691;LEISELE;ALVERINGEM;Alveringem
8691;IZENBERGE;ALVERINGEM;Alveringem
8650;KLERKEN;HOUTHULST;Houthulst
8830;HOOGLEDE;HOOGLEDE;Hooglede
8650;RONEHOEK - NIEUWE STEDE;HOUTHULST;Houthulst
8650;HOUTHULST;HOUTHULST;Houthulst
8840;STADEN;STADEN;Staden
8647;POLLINKHOVE;LO-RENINGE;Lo-reninge
8690;HOOGSTADE;ALVERINGEM;Alveringem
8850;ARDOOIE;ARDOOIE;Ardooie
8650;MERKEM;HOUTHULST;Houthulst
8800;ROESELARE;ROESELARE;Roeselare
8691;GIJVERINKHOVE;ALVERINGEM;Alveringem
8647;RENINGE;LO-RENINGE;Lo-reninge
8720;DENTERGEM;DENTERGEM;Dentergem
8760;MEULEBEKE;MEULEBEKE;Meulebeke
8647;NOORDSCHOTE;LO-RENINGE;Lo-reninge
8691;BEVEREN (ALVERINGEM);ALVERINGEM;Alveringem
8840;OOSTNIEUWKERKE;STADEN;Staden
8780;OOSTROZEBEKE;OOSTROZEBEKE;Oostrozebeke
8640;OOSTVLETEREN;VLETEREN;Vleteren
8920;POELKAPELLE;LANGEMARK-POELKAPELLE;Langemark-poelkapelle
8720;MARKEGEM;DENTERGEM;Dentergem
8691;STAVELE;ALVERINGEM;Alveringem
8920;LANGEMARK;LANGEMARK-POELKAPELLE;Langemark-poelkapelle
8870;KACHTEM;IZEGEM;Izegem
8840;WESTROZEBEKE;STADEN;Staden
8720;OESELGEM;DENTERGEM;Dentergem
8720;WAKKEN;DENTERGEM;Dentergem
8870;IZEGEM;IZEGEM;Izegem
8920;BIKSCHOTE;LANGEMARK-POELKAPELLE;Langemark-poelkapelle
8770;INGELMUNSTER;INGELMUNSTER;Ingelmunster
8710;SINT-BAAFS-VIJVE;WIELSBEKE;Wielsbeke
8640;WESTVLETEREN;VLETEREN;Vleteren
8972;ROESBRUGGE-HARINGE;POPERINGE;Poperinge
8800;RUMBEKE;ROESELARE;Roeselare
8904;ZUIDSCHOTE;IEPER;Ieper
8972;KROMBEKE;POPERINGE;Poperinge
8980;PASSENDALE;ZONNEBEKE;Zonnebeke
8890;MOORSLEDE;MOORSLEDE;Moorslede
8710;WIELSBEKE;WIELSBEKE;Wielsbeke
8904;BOEZINGE;IEPER;Ieper
8640;WOESTEN;VLETEREN;Vleteren
8800;OEKENE;ROESELARE;Roeselare
8972;PROVEN;POPERINGE;Poperinge
8793;SINT-ELOOIS-VIJVE;WAREGEM;Waregem
8906;ELVERDINGE;IEPER;Ieper
8710;OOIGEM;WIELSBEKE;Wielsbeke
8531;HULSTE;HARELBEKE;Harelbeke
8790;WAREGEM;WAREGEM;Waregem
8792;DESSELGEM;WAREGEM;Waregem
8860;LENDELEDE;LENDELEDE;Lendelede
8531;BAVIKHOVE;HARELBEKE;Harelbeke
8970;POPERINGE;POPERINGE;Poperinge
8880;SINT-ELOOIS-WINKEL;LEDEGEM;Ledegem
8880;LEDEGEM;LEDEGEM;Ledegem
8900;SINT-JAN;IEPER;Ieper
8980;ZONNEBEKE;ZONNEBEKE;Zonnebeke
8880;ROLLEGEM KAPELLE;LEDEGEM;Ledegem
8900;IEPER;IEPER;Ieper
8791;BEVEREN-LEIE;WAREGEM;Waregem
8900;BRIELEN;IEPER;Ieper
8978;WATOU;POPERINGE;Poperinge
8520;KUURNE;KUURNE;Kuurne
8908;VLAMERTINGE;IEPER;Ieper
8501;HEULE;KORTRIJK;Kortrijk
8980;BESELARE;ZONNEBEKE;Zonnebeke
8530;HARELBEKE;HARELBEKE;Harelbeke
8560;MOORSELE;WEVELGEM;Wevelgem
8540;DEERLIJK;DEERLIJK;Deerlijk
8560;GULLEGEM;WEVELGEM;Wevelgem
8570;ANZEGEM;ANZEGEM;Anzegem
8970;RENINGELST;POPERINGE;Poperinge
8890;DADIZELE;MOORSLEDE;Moorslede
8902;ZILLEBEKE;IEPER;Ieper
8940;GELUWE;WERVIK;Wervik
8570;INGOOIGEM;ANZEGEM;Anzegem
8980;GELUVELD;ZONNEBEKE;Zonnebeke
8500;KORTRIJK;KORTRIJK;Kortrijk
8570;VICHTE;ANZEGEM;Anzegem
8900;DIKKEBUS;IEPER;Ieper
8902;VOORMEZELE;IEPER;Ieper
8570;GIJZELBRECHTEGEM;ANZEGEM;Anzegem
8501;BISSEGEM;KORTRIJK;Kortrijk
8930;MENEN;MENEN;Menen
8954;WESTOUTER;HEUVELLAND;Heuvelland
8980;ZANDVOORDE;ZONNEBEKE;Zonnebeke
8940;WERVIK;WERVIK;Wervik
8573;TIEGEM;ANZEGEM;Anzegem
8560;WEVELGEM;WEVELGEM;Wevelgem
8550;ZWEVEGEM;ZWEVEGEM;Zwevegem
8553;OTEGEM;ZWEVEGEM;Zwevegem
8902;HOLLEBEKE;IEPER;Ieper
8510;MARKE;KORTRIJK;Kortrijk
8958;DE KLIJTE - DORP;HEUVELLAND;Heuvelland
8572;KASTER;ANZEGEM;Anzegem
8956;KEMMEL;HEUVELLAND;Heuvelland
8551;HEESTERT;ZWEVEGEM;Zwevegem
8953;WIJTSCHATE;HEUVELLAND;Heuvelland
8581;KERKHOVE;AVELGEM;Avelgem
8930;LAUWE;MENEN;Menen
8958;LOKER;HEUVELLAND;Heuvelland
8581;WAARMAARDE;AVELGEM;Avelgem
8552;MOEN;ZWEVEGEM;Zwevegem
8510;BELLEGEM;KORTRIJK;Kortrijk
8511;AALBEKE;KORTRIJK;Kortrijk
8930;REKKEM;MENEN;Menen
